year,make,model,condition,odometer,sellingprice
2013,Audi,Q7,41.0,76543.0,31000.0
2013,BMW,X6,37.0,22013.0,44500.0
2013,BMW,3 Series,49.0,15972.0,35250.0
2013,BMW,X5,44.0,48723.0,35000.0
2013,BMW,7 Series,49.0,18099.0,44000.0
2014,Toyota,Tundra,5.0,14481.0,39000.0
2013,BMW,7 Series,45.0,32308.0,38000.0
2013,Audi,Q7,42.0,20431.0,39750.0
2013,Ford,Explorer,46.0,37305.0,34300.0
2013,Honda,Odyssey,41.0,17982.0,33000.0
2013,Honda,Pilot,43.0,28151.0,31500.0
2013,Ford,F-150,46.0,13975.0,40000.0
2013,Ford,Explorer,37.0,28672.0,34700.0
2014,BMW,5 Series,45.0,9851.0,41500.0
2014,Chevrolet,Silverado 2500HD,42.0,31346.0,33250.0
2014,Audi,A6,39.0,35497.0,44500.0
2014,Chevrolet,Silverado 1500,41.0,16579.0,31750.0
2014,BMW,X3,49.0,14189.0,41500.0
2014,Audi,RS 7,5.0,6526.0,105000.0
2014,BMW,X5,46.0,11577.0,53000.0
2014,Acura,MDX,39.0,8577.0,43250.0
2012,Audi,A6,38.0,23783.0,32250.0
2012,Audi,Q7,31.0,25728.0,35750.0
2012,Audi,A8,41.0,20909.0,46750.0
2012,Audi,Q7,33.0,41751.0,36500.0
2013,Ram,2500,42.0,12542.0,36750.0
2012,Audi,A7,46.0,31082.0,41250.0
2012,BMW,X6,28.0,40060.0,39500.0
2012,BMW,6 Series,35.0,16419.0,44000.0
2012,BMW,X5,36.0,32051.0,41250.0
2012,Bentley,Continental GT,46.0,21689.0,118000.0
2012,BMW,6 Series,41.0,46001.0,44000.0
2012,BMW,5 Series Gran Turismo,33.0,41554.0,36250.0
2012,BMW,6 Series,47.0,32783.0,46250.0
2012,BMW,X5,36.0,30959.0,35000.0
2012,Lexus,GX 460,4.0,17148.0,39000.0
2012,Land Rover,Range Rover Evoque,33.0,33441.0,36000.0
2012,Land Rover,Range Rover Evoque,37.0,36140.0,34250.0
2012,Land Rover,Range Rover Sport,42.0,48377.0,40000.0
2012,Land Rover,Range Rover,3.0,34899.0,47000.0
2012,Land Rover,Range Rover Evoque,42.0,34177.0,35250.0
2012,Mercedes-Benz,E-Class,36.0,19669.0,43500.0
2012,Mercedes-Benz,E-Class,39.0,9707.0,42750.0
2012,Mercedes-Benz,SLK-Class,49.0,42069.0,34000.0
